key_mlbam,name_first,name_last,full_name
643466,harrison,musgrave,harrison musgrave
118406,mike,massey,mike massey
446321,ross,detwiler,ross detwiler
119721,jim,nettles,jim nettles
116347,jerry,hurley,jerry hurley
122063,dick,sharon,dick sharon
502356,tyler,robertson,tyler robertson
119444,mal,moss,mal moss
118888,charlie,mead,charlie mead
641658,garrett,hampson,garrett hampson
119111,bob,miller,bob miller
632813,pat,madden,pat madden
111169,bill,bolden,bill bolden
476594,robert,stock,robert stock
116210,lee,howard,lee howard
818486,william,lindsay,william lindsay
123876,dave,walsh,dave walsh
120773,buddy,pritchard,buddy pritchard
122813,len,stockwell,len stockwell
118536,bill,mccahan,bill mccahan
425386,jeremy,guthrie,jeremy guthrie
431015,del,black,del black
111926,hugh,campbell,hugh campbell
110614,johnny,barrett,johnny barrett
114106,cecil,fielder,cecil fielder
122435,mike,smith,mike smith
656186,dan,altavilla,dan altavilla
122698,arnold,statz,arnold statz
122792,fred,stiely,fred stiely
664199,taylor,clarke,taylor clarke
119123,tom,miller,tom miller
116263,jesse,hudson,jesse hudson
621086,james,marvel,james marvel
120497,dan,pfister,dan pfister
112034,amalio,carreño,amalio carreño
116557,rankin,johnson,rankin johnson
501936,matt,buschmann,matt buschmann
123409,dilson,torres,dilson torres
701542,will,warren,will warren
118216,jim,maloney,jim maloney
408110,takahito,nomura,takahito nomura
117636,jim,lehew,jim lehew
121615,ted,sadowski,ted sadowski
115890,jack,hickey,jack hickey
115106,jim,greengrass,jim greengrass
435438,mike,esposito,mike esposito
115156,denver,grigsby,denver grigsby
459439,jarrett,grube,jarrett grube
111654,jerry,buchek,jerry buchek
677008,heston,kjerstad,heston kjerstad
115507,mickey,harrington,mickey harrington
113565,karl,drews,karl drews
122431,mark,smith,mark smith
115079,scarborough,green,scarborough green
114621,lou,garland,lou garland
820676,felipe,armas,felipe armas
120737,phil,powers,phil powers
112317,earl,clark,earl clark
112386,doug,clemens,doug clemens
276352,gary,knotts,gary knotts
817596,bert,redwine,bert redwine
820435,julie,bowers,julie bowers
663662,daz,cameron,daz cameron
432625,will,rudd,will rudd
116973,fred,kendall,fred kendall
122193,clyde,shoun,clyde shoun
690916,richard,fitts,richard fitts
493337,yunesky,maya,yunesky maya
453273,michael,crotta,michael crotta
643290,justin,dunn,justin dunn
120151,ed,pabst,ed pabst
683146,brett,baty,brett baty
113291,delino,deshields,delino deshields
114302,gene,ford,gene ford
622168,yairo,muñoz,yairo muñoz
623949,clint,vondrak,clint vondrak
124751,joe,zdeb,joe zdeb
112607,jack,conway,jack conway
114055,bob,feller,bob feller
115206,tom,grubbs,tom grubbs
112035,cam,carreon,cam carreon
660650,dérmis,garcía,dérmis garcía
119107,randy,miller,randy miller
488748,ryan,buchter,ryan buchter
120229,harry,parker,harry parker
429661,carlos,alfonso,carlos alfonso
123683,coot,veal,coot veal
117192,jack,knight,jack knight
114993,ted,goulait,ted goulait
121341,rich,rodas,rich rodas
441266,jeff,harris,jeff harris
116380,raúl,ibañez,raúl ibañez
111214,bret,boone,bret boone
110758,george,beck,george beck
818475,l. d.,livingston,l. d. livingston
462515,miguel,socolovich,miguel socolovich
120372,hipólito,peña,hipólito peña
476601,michael,bowden,michael bowden
124136,woody,wheaton,woody wheaton
119745,fred,newman,fred newman
117572,hillis,layne,hillis layne
817518,roy,roberts,roy roberts
119186,mike,misuraca,mike misuraca
820585,herb,barnhill,herb barnhill
122145,barry,shetrone,barry shetrone
115014,john,graff,john graff
408206,brett,myers,brett myers
124606,joe,wright,joe wright
150242,jae weong,seo,jae weong seo
111087,steve,blateric,steve blateric
120777,george,proeser,george proeser
118050,harry,lyons,harry lyons
450315,brandon,allen,brandon allen
445197,mike,dunn,mike dunn
110475,george,baker,george baker
681460,brooks,baldwin,brooks baldwin
124624,yats,wuestling,yats wuestling
434637,matt,lindstrom,matt lindstrom
433218,chad,broski,chad broski
817972,billy,nicholas,billy nicholas
117340,mike,krukow,mike krukow
117178,chris,knapp,chris knapp
669165,kyle,hurt,kyle hurt
123315,lou,thornton,lou thornton
110628,frank,barron,frank barron
124697,george,young,george young
120073,junior,ortiz,junior ortiz
114117,jesús,figueroa,jesús figueroa
118589,george,mcconnell,george mcconnell
518972,trystan,magnuson,trystan magnuson
407861,orlando,hudson,orlando hudson
687957,dustin,harris,dustin harris
111066,linc,blakely,linc blakely
150063,wade,miller,wade miller
110205,orlando,álvarez,orlando álvarez
